GEO_ID,STATE,COUNTY,TRACT,NAME,WATER_TRACT,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
1400000US12086008209,12,86,8209,"Census Tract 82.09, Miami-Dade County, Florida",,4666,1050,539,22.5,11.55,3132,556,67.12,11.92,484,431,10.37,9.24
1400000US12086008305,12,86,8305,"Census Tract 83.05, Miami-Dade County, Florida",,5389,1712,647,31.77,12.01,2386,710,44.28,13.17,1291,605,23.96,11.23
1400000US12086008308,12,86,8308,"Census Tract 83.08, Miami-Dade County, Florida",,5688,1460,601,25.67,10.57,2975,703,52.3,12.36,1253,628,22.03,11.04
1400000US12086008309,12,86,8309,"Census Tract 83.09, Miami-Dade County, Florida",,4574,1345,586,29.41,12.81,2353,667,51.44,14.58,876,577,19.15,12.61
1400000US12086008310,12,86,8310,"Census Tract 83.10, Miami-Dade County, Florida",,3222,709,423,22,13.13,1871,477,58.07,14.8,642,419,19.93,13
1400000US12086008311,12,86,8311,"Census Tract 83.11, Miami-Dade County, Florida",,4055,555,451,13.69,11.12,1980,516,48.83,12.73,1520,457,37.48,11.27
1400000US12086008312,12,86,8312,"Census Tract 83.12, Miami-Dade County, Florida",,3223,712,443,22.09,13.74,1132,511,35.12,15.85,1379,454,42.79,14.09
1400000US12086008313,12,86,8313,"Census Tract 83.13, Miami-Dade County, Florida",,4492,718,505,15.98,11.24,2454,594,54.63,13.22,1320,545,29.39,12.13
1400000US12086008314,12,86,8314,"Census Tract 83.14, Miami-Dade County, Florida",,2657,398,318,14.98,11.97,1673,368,62.97,13.85,586,328,22.05,12.34
1400000US12086008315,12,86,8315,"Census Tract 83.15, Miami-Dade County, Florida",,3380,1198,426,35.44,12.6,1695,489,50.15,14.47,487,435,14.41,12.87
1400000US12086008409,12,86,8409,"Census Tract 84.09, Miami-Dade County, Florida",,5524,2603,738,47.12,13.36,1831,818,33.15,14.81,1090,708,19.73,12.82
1400000US12086008415,12,86,8415,"Census Tract 84.15, Miami-Dade County, Florida",,5043,1799,571,35.67,11.32,2350,642,46.6,12.73,894,558,17.73,11.06
